x,y
464,78
138,347
307,655
198,300
47,805
490,296
799,345
309,784
968,34
147,86
101,748
481,659
313,86
955,31
766,911
663,694
549,818
494,382
994,366
892,956
314,654
335,637
724,264
751,369
694,404
337,311
63,25
386,439
99,251
259,434
498,24
312,606
205,272
727,83
238,689
990,962
726,712
58,954
350,385
527,671
771,941
284,741
766,323
78,609
202,569
526,867
76,908
907,901
251,8
791,610
475,392
721,888
446,799
384,846
217,534
838,71
512,550
327,253
41,580
660,881
26,651
122,719
924,425
692,574
34,362
890,23
100,780
606,169
731,265
80,975
796,249
937,516
276,506
394,149
866,792
623,193
125,802
438,130
919,315
817,537
143,475
457,131
933,274
732,985
144,397
809,578
382,847
595,914
641,611
337,52
911,594
518,653
472,90
483,558
297,473
74,468
341,560
804,898
293,898
561,825
244,143
828,438
286,619
928,65
937,979
690,288
293,687
569,242
441,496
235,2
70,474
618,848
313,205
283,317
707,870
856,746
557,749
535,19
968,933
129,503
803,958
190,728
394,291
120,447
702,743
918,109
981,228
137,150
872,68
491,154
508,94
517,388
201,376
830,680
729,867
888,265
175,570
287,769
992,492
378,343
923,802
489,43
16,273
825,202
710,411
574,487
762,643
799,953
485,422
544,792
288,868
953,301
255,592
182,668
900,109
50,318
12,835
246,398
47,239
985,136
123,535
941,901
716,655
409,970
570,941
689,300
485,973
565,974
292,258
994,675
674,634
265,163
208,397
307,839
417,642
392,625
869,632
777,649
995,817
817,983
72,287
138,663
840,829
869,322
181,931
461,128
62,399
171,899
857,195
351,1000
167,435
542,851
246,806
470,579
668,98
120,755
80,102
247,692
598,44
552,723
544,866
846,459
44,819
279,416
998,790
184,739
315,933
225,940
793,243
527,82
417,562
636,534
46,161
942,72
501,331
487,432
890,370
517,537
297,936
157,934
944,83
976,380
413,274
551,669
486,728
74,144
114,470
186,77
907,461
930,378
247,292
828,470
350,306
6,976
774,637
779,669
858,253
566,996
15,670
223,480
96,778
946,198
854,765
925,304
585,101
631,756
206,688
570,785
221,341
531,973
353,922
240,533
205,209
716,795
398,639
613,927
323,600
140,572
32,816
754,85
868,645
55,509
426,8
203,75
564,428
625,638
626,729
219,439
120,73
870,22
302,664
420,551
965,615
19,361
988,36
997,715
163,528
373,679
551,849
249,420
481,287
247,51
780,311
960,708
14,424
534,559
953,670
444,964
399,282
868,139
373,573
258,227
652,901
52,307
461,85
787,243
719,60
250,179
303,38
66,743
